s2_cellid,18-25,26-35,36-45,46-55,56-65,66-75,75+
10836463054883913728,60901331.01797359,74469892.35686445,71796193.36360437,78594764.48823485,59668527.98002368,29492906.388261817,18655205.863371156
10836463089243652096,154493852.84838286,174722647.28270382,154522344.93192804,158867262.3405487,118558415.22182584,59638909.72133587,36532498.403631255
10836463123603390464,202767102.11635217,254595931.55483872,187984378.41738096,226020928.5841818,202132050.96555313,134862162.9429135,107945661.92919332
10836463157963128832,467973928.4052757,483373123.4116713,390573209.6853686,460664318.98376685,274497951.85747457,141093996.70021,96632573.0222241
10836463192322867200,275982526.33152276,324817217.2631271,231894168.9273101,239535184.28541374,236667100.09803563,91904198.27251987,44094506.93284134
10836463226682605568,478920821.0919517,543904923.4276538,485593625.21772563,381667234.34495616,379564355.41248196,199477627.6147793,82105780.51141338
10836463261042343936,448558486.1297777,470576625.6140603,430724880.3344253,380249087.04659486,326267131.10874414,186794615.36461464,80665329.01833723
10836463295402082304,625903904.8213207,583229749.7594091,548943545.9150106,637662724.7403752,417772834.000345,380531371.8658681,228649183.61418712
10836463329761820672,192343258.44900158,184968155.7547933,143896281.28235993,215900395.1494039,138424660.45288348,74719440.20879178,93812451.87783271
10836463364121559040,411294269.3168335,479808371.3497776,476651356.6421511,327483622.4446037,210038596.8035373,73395244.10871522,23355814.01141695
10836463398481297408,650473760.7535667,840003699.8875042,675111028.7262212,568493856.202872,649726924.8859246,330499811.5556805,137392717.6077145
10836463432841035776,717541910.6348495,786196667.685137,719799135.5553359,640500019.0363688,539170503.8417302,397320374.1216712,153922598.93553698
10836463467200774144,188326558.3548534,224661267.5066344,190755736.65054658,157413805.2539405,142918626.18365887,56878163.63221021,25107707.812104158
10836463501560512512,106322869.32849477,105844588.77610314,80339477.75833847,115803856.00396146,59406900.398158856,47410653.20181658,34503611.08794842
10836463535920250880,676783211.4868727,773464970.644843,649422847.1049175,745386115.5229821,464092181.43419945,455337123.4651013,229370982.0758344
10836463570279989248,684597823.8221337,717337783.570795,599259476.9780893,775387369.0643212,529346233.7250553,406139681.4606559,272852302.6108067
10836463604639727616,557297932.7953694,650016734.9995161,493989521.38488615,544120019.188847,499539194.1441965,299121616.0735076,127206908.8105349
10836463638999465984,753233783.974659,791547703.0078773,703123421.3514848,787306114.1205468,491128237.5461158,500067837.20882785,294425452.96676123
10836463673359204352,605078526.5858307,717756809.5431639,636063513.6104143,608937046.9823347,512811571.1488086,403921685.6716521,296212311.7995863
10836463707718942720,558374551.81766,922660106.4753205,678754010.0707846,554309791.2559873,461228036.51579416,291969269.43515444,249211202.45926186
10836463742078681088,590081578.0299541,734169582.1520041,610114095.3802888,615254093.2765493,504850121.0793293,383341110.7516649,255577357.25330716
10836463776438419456,542664423.3355972,608212285.2583684,486161332.0700755,660383123.0052042,510659852.7132598,286130752.41666955,296616072.5283916
10836463810798157824,670735842.76629,676284137.3001938,648326322.9837719,714862947.0062823,451229976.4029005,489244599.87585497,232652894.28276554
10836463845157896192,687743710.8866397,807352452.2085629,650796818.203993,696816053.2764924,650419023.8127973,391675872.99499387,227011436.65590784
10836463879517634560,665789809.0353227,771145998.405381,561900703.4753668,709611367.2248318,679989217.6511655,304195529.30639935,283038802.1513355
10836463913877372928,570628477.0964555,634073717.3415436,488824761.0598178,656419479.4512866,556811756.942353,282299791.71765524,322913312.5559754
10836463948237111296,553637079.535637,614946954.3032246,517065221.13696945,625107857.8280268,512446995.8124858,341960868.6255918,322472103.9326552
10836463982596849664,723057499.9154553,840807783.9586401,710643238.0856142,822425303.795888,683634530.2853124,484112466.89345455,369600266.9200149
10836464016956588032,590502288.3320564,669204153.5957805,573569073.1293416,701599709.7008803,523804275.880001,385147480.84339446,319182147.4086706
10836464051316326400,675704956.1098714,752559511.9432399,633799918.5083597,677367071.2163854,576126129.4265679,438410137.71765065,320272333.00563806
10836464085676064768,580555977.5261053,731926954.7280365,547468447.5505537,599250231.9697638,566702495.3441147,341972683.8349162,224862964.756747
10836464120035803136,721143065.7779585,1189502605.139308,740578038.3003266,692642814.938916,584076158.3845565,409031492.96541,308863684.4664866
10836464154395541504,720248915.6452639,1010373740.5398338,747546495.522106,795778346.5795728,705025037.5124726,483942982.1612865,474733220.4876823
10836464188755279872,580608431.8465508,1111901438.2040277,786550657.023303,653470751.8688875,540861917.5628715,364746522.185335,359278595.0602176
10836464223115018240,698918746.2253202,1333809684.4420485,937593048.5236763,734702706.2426459,595615264.8882388,414232492.6987847,344892438.42022645
10836464257474756608,580242394.2763594,1038797400.1233864,782134363.4562932,714681053.6259513,560467424.0530221,378548668.59383285,319388953.1994762
10836464291834494976,690006533.634429,1174831119.1281145,838595757.2555144,739852494.543087,641836188.3447452,416134251.4172659,443695816.097882
10836464326194233344,574661107.3846356,836851251.2910929,599643196.6105565,611311773.1361824,538963570.5101805,348819088.24548167,325371448.8795809
10836464360553971712,667805490.4630378,940305516.7659532,716129618.2017998,753428796.1842486,617889016.8692626,413899365.26358736,333781163.6009293
10836464394913710080,714401142.8092749,874398465.989825,718309741.7014493,755789290.3299662,654520584.9706886,485002401.57937163,462474129.8050511
10836464429273448448,593085164.8523383,744289838.1547635,658224135.0350598,647461496.3265728,561579347.0672143,412465507.067775,413277225.33128977
10836464463633186816,628990712.2783723,856520427.5982,689981073.8594196,694538094.0441566,675162946.2049719,418902995.78965205,338298710.7787484
10836464497992925184,177025866.54419574,207907353.6006585,173172352.70863578,187205884.482602,142780297.2627594,93720002.31048156,75190584.7119494
10836464532352663552,700548806.143336,772531688.248728,599021330.747555,757753401.9939805,491255040.3617751,347024780.5246176,243196565.54037753
10836464566712401920,554060488.4533124,697120779.5178783,533062694.00119233,624807483.911081,464390136.7985398,277973137.3994598,248338613.54155335
10836464601072140288,579893445.2334665,676362522.6549731,491277524.4312911,644143911.2685989,606453133.3345186,309312911.7400863,306567961.2752779
10836464635431878656,513324858.9296748,606033745.1338266,502819775.6341434,589988704.9123915,526112119.1559945,391869600.17853326,285186942.8425986
10836464669791617024,552066108.0713891,654420611.3633692,482265275.28669655,584843971.4851365,612921113.6779231,267151179.898692,257169557.86791322
10836464704151355392,609790559.3232476,720459221.1737828,502853176.3088693,620016725.1306695,732354256.5455462,244860587.47293034,280111580.9104567
10836464738511093760,679466603.2969236,898494925.2577192,892335803.9849333,740396021.4816366,593214149.3532597,243498288.69044372,207086308.0673659
